

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
723.087  000.776  000.776: sourcing /Users/nissassin17/.vim/bundle/vim-multiple-cursors/plugin/multiple_cursors.vim
723.358  000.099  000.099: sourcing /Users/nissassin17/.vim/bundle/sessionman.vim/plugin/sessionman.vim
723.576  000.071  000.071: sourcing /Users/nissassin17/.vim/bundle/matchit.zip/plugin/matchit.vim
723.767  000.052  000.052: sourcing /Users/nissassin17/.vim/bundle/vim-airline/plugin/airline.vim
723.972  000.042  000.042: sourcing /Users/nissassin17/.vim/bundle/vim-bufferline/plugin/bufferline.vim
724.196  000.085  000.085: sourcing /Users/nissassin17/.vim/bundle/vim-easymotion/plugin/EasyMotion.vim
724.424  000.043  000.043: sourcing /Users/nissassin17/.vim/bundle/undotree/plugin/undotree.vim
724.645  000.058  000.058: sourcing /Users/nissassin17/.vim/bundle/restore_view.vim/plugin/restore_view.vim
724.826  000.044  000.044: sourcing /Users/nissassin17/.vim/bundle/vim-signify/plugin/signify.vim
725.006  000.043  000.043: sourcing /Users/nissassin17/.vim/bundle/vim-abolish/plugin/abolish.vim
725.180  000.039  000.039: sourcing /Users/nissassin17/.vim/bundle/vim-over/plugin/over.vim
725.448  000.054  000.054: sourcing /Users/nissassin17/.vim/bundle/vim-textobj-indent/plugin/textobj/indent.vim
725.654  000.042  000.042: sourcing /Users/nissassin17/.vim/bundle/vim-litecorrect/plugin/litecorrect.vim
725.886  000.044  000.044: sourcing /Users/nissassin17/.vim/bundle/vim-textobj-sentence/plugin/textobj/sentence.vim
726.118  000.044  000.044: sourcing /Users/nissassin17/.vim/bundle/vim-textobj-quote/plugin/textobj/quote.vim
726.755  000.033  000.033: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/autoloclist.vim
726.818  000.030  000.030: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/balloons.vim
726.879  000.029  000.029: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/checker.vim
726.938  000.028  000.028: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/cursor.vim
726.996  000.027  000.027: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/highlighting.vim
727.053  000.025  000.025: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/loclist.vim
727.110  000.026  000.026: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/modemap.vim
727.193  000.026  000.026: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/notifiers.vim
727.248  000.024  000.024: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/registry.vim
727.303  000.023  000.023: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic/signs.vim
727.364  000.029  000.029: sourcing /Users/nissassin17/.vim/bundle/syntastic/plugin/syntastic.vim
727.517  000.026  000.026: sourcing /Users/nissassin17/.vim/bundle/vim-fugitive/plugin/fugitive.vim
727.680  000.029  000.029: sourcing /Users/nissassin17/.vim/bundle/gist-vim/plugin/gist.vim
727.830  000.031  000.031: sourcing /Users/nissassin17/.vim/bundle/nerdcommenter/plugin/NERD_commenter.vim
727.971  000.024  000.024: sourcing /Users/nissassin17/.vim/bundle/vim-commentary/plugin/commentary.vim
728.141  000.054  000.054: sourcing /Users/nissassin17/.vim/bundle/tabular/plugin/Tabular.vim
728.289  000.032  000.032: sourcing /Users/nissassin17/.vim/bundle/rainbow/plugin/rainbow.vim
729.609  001.206  001.206: sourcing /Users/nissassin17/.vim/bundle/tagbar/plugin/tagbar.vim
730.024  000.126  000.126: sourcing /Users/nissassin17/.vim/bundle/YouCompleteMe/plugin/youcompleteme.vim
730.271  000.033  000.033: sourcing /Users/nissassin17/.vim/bundle/ultisnips/plugin/UltiSnips.vim
730.493  000.030  000.030: sourcing /Users/nissassin17/.vim/bundle/vim-snippets/plugin/vimsnippets.vim
730.797  000.080  000.080: sourcing /Users/nissassin17/.vim/bundle/PIV/plugin/phpfolding.vim
730.993  000.146  000.146: sourcing /Users/nissassin17/.vim/bundle/PIV/plugin/piv.vim
731.475  000.292  000.292: sourcing /Users/nissassin17/.vim/bundle/vim-php-namespace/plugin/phpns.vim
733.479  000.073  000.073: sourcing /usr/local/share/vim/vim74/filetype.vim
736.675  000.060  000.060: sourcing /usr/local/share/vim/vim74/ftplugin.vim
741.055  000.070  000.070: sourcing /usr/local/share/vim/vim74/filetype.vim
743.149  000.040  000.040: sourcing /usr/local/share/vim/vim74/ftplugin.vim
744.286  012.590  012.347: sourcing /Users/nissassin17/.vim/bundle/python-mode/plugin/pymode.vim
744.709  000.064  000.064: sourcing /Users/nissassin17/.vim/bundle/emmet-vim/plugin/emmet.vim
744.850  000.019  000.019: sourcing /Users/nissassin17/.vim/bundle/vim-rails/plugin/rails.vim
745.021  000.016  000.016: sourcing /Users/nissassin17/.vim/bundle/rust.vim/plugin/rust.vim
745.271  000.221  000.221: sourcing /Users/nissassin17/.vim/bundle/rust.vim/plugin/rustfmt.vim
745.519  000.070  000.070: sourcing /Users/nissassin17/.vim/bundle/vim-cucumber-align-pipes/plugin/cucumber-align-pipes.vim
748.541  000.259  000.259: sourcing /usr/local/share/vim/vim74/plugin/getscriptPlugin.vim
749.846  000.865  000.865: sourcing /usr/local/share/vim/vim74/plugin/gzip.vim
